epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3868.7,1.28999,1.40002,1.27861,0.63411,0.60565,0.66066,0.41135,1.34033,1.76096,1.4169,0.000494885,0.000494885,0.000494885
43,3903.52,1.33897,1.39955,1.34651,0.78752,0.51386,0.69284,0.45319,1.23862,1.71385,1.34432,0.000486639,0.000486639,0.000486639
44,3938.11,1.24048,1.4056,1.33702,0.70619,0.61483,0.73545,0.49741,1.18078,1.55536,1.31534,0.000478392,0.000478392,0.000478392
45,3973.38,1.29561,1.42328,1.33141,0.70619,0.61483,0.73545,0.49741,1.18078,1.55536,1.31534,0.000470145,0.000470145,0.000470145
46,4008.18,1.18875,1.30395,1.31991,0.74144,0.66669,0.77006,0.52336,1.16095,1.4775,1.30257,0.000461898,0.000461898,0.000461898
47,4042.59,1.21166,1.31143,1.28547,0.8054,0.67295,0.79765,0.53043,1.16344,1.45214,1.31252,0.000453652,0.000453652,0.000453652
48,4077.7,1.18214,1.21155,1.21711,0.78916,0.69068,0.78881,0.52561,1.18174,1.4633,1.32969,0.000445405,0.000445405,0.000445405
49,4112.24,1.13626,1.13601,1.23779,0.78916,0.69068,0.78881,0.52561,1.18174,1.4633,1.32969,0.000437158,0.000437158,0.000437158
50,4147.01,1.15754,1.18044,1.26353,0.80334,0.65694,0.78543,0.54583,1.15281,1.47731,1.30876,0.000428912,0.000428912,0.000428912
51,4181.7,1.21054,1.24132,1.3038,0.89761,0.61438,0.78969,0.55824,1.095,1.50101,1.28049,0.000420665,0.000420665,0.000420665
52,4216.68,1.14404,1.19101,1.21184,0.84388,0.70753,0.8272,0.6133,0.99318,1.30114,1.21325,0.000412418,0.000412418,0.000412418
53,4251.29,1.21013,1.29184,1.30402,0.84388,0.70753,0.8272,0.6133,0.99318,1.30114,1.21325,0.000404172,0.000404172,0.000404172
54,4285.82,1.09199,1.11207,1.23252,0.94752,0.74344,0.87815,0.67002,0.93184,1.05469,1.16279,0.000395925,0.000395925,0.000395925
55,4321.02,1.16828,1.1252,1.23711,0.93043,0.82658,0.95203,0.72349,0.91694,0.86805,1.14104,0.000387678,0.000387678,0.000387678
56,4355.5,1.02056,0.97965,1.17154,0.93414,0.88296,0.95068,0.7034,0.92588,0.85227,1.14938,0.000379431,0.000379431,0.000379431
57,4390.1,1.02499,0.97087,1.17189,0.93414,0.88296,0.95068,0.7034,0.92588,0.85227,1.14938,0.000371185,0.000371185,0.000371185
58,4424.59,1.01998,0.95563,1.16,0.95954,0.83876,0.9448,0.70521,0.89726,0.83021,1.1406,0.000362938,0.000362938,0.000362938
59,4458.86,1.03125,1.01421,1.19465,0.91181,0.82345,0.91874,0.68911,0.87361,0.83535,1.12594,0.000354691,0.000354691,0.000354691
60,4493.53,1.1311,1.11156,1.22472,0.92124,0.82974,0.94243,0.71622,0.83769,0.82548,1.10877,0.000346445,0.000346445,0.000346445
61,4527.85,1.02559,0.93741,1.1497,0.92124,0.82974,0.94243,0.71622,0.83769,0.82548,1.10877,0.000338198,0.000338198,0.000338198
62,4562.39,1.10689,0.99307,1.18609,0.97674,0.80745,0.9585,0.73579,0.80281,0.78665,1.07826,0.000329951,0.000329951,0.000329951
63,4596.82,0.93296,0.88191,1.13579,0.95425,0.83771,0.97333,0.74916,0.79388,0.75226,1.05853,0.000321705,0.000321705,0.000321705
64,4631.62,1.03877,0.91706,1.15316,0.87945,0.91582,0.97724,0.75775,0.79481,0.74402,1.05081,0.000313458,0.000313458,0.000313458
65,4666.28,0.98698,0.87311,1.10798,0.87945,0.91582,0.97724,0.75775,0.79481,0.74402,1.05081,0.000305211,0.000305211,0.000305211
66,4701.02,1.01337,0.83476,1.11849,0.9149,0.89949,0.9744,0.76175,0.78777,0.72966,1.04343,0.000296964,0.000296964,0.000296964
67,4735.83,0.94744,0.89426,1.16164,0.87318,0.94752,0.97178,0.76743,0.76328,0.71267,1.02473,0.000288718,0.000288718,0.000288718
68,4770.48,0.96087,0.84266,1.13049,0.89084,0.93968,0.97032,0.77199,0.75396,0.69263,1.02489,0.000280471,0.000280471,0.000280471
69,4805.17,0.98322,0.86785,1.1674,0.89084,0.93968,0.97032,0.77199,0.75396,0.69263,1.02489,0.000272224,0.000272224,0.000272224
70,4839.82,0.98739,0.87611,1.11217,0.9261,0.91896,0.97093,0.77437,0.74701,0.66616,1.02482,0.000263978,0.000263978,0.000263978
71,4874.67,0.87239,0.76006,1.05271,0.92833,0.93166,0.9802,0.78858,0.73317,0.64187,1.0158,0.000255731,0.000255731,0.000255731
72,4909.49,0.91131,0.79452,1.12291,0.90683,0.96574,0.98183,0.78309,0.71228,0.62737,1.00589,0.000247484,0.000247484,0.000247484
