epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.1463,2.80549,11.1602,2.56939,0.00049,0.02778,0.0003,8e-05,2.84519,6.95961,3.10086,1.666e-05,1.666e-05,1.666e-05
2,98.8494,2.87656,8.06854,2.57296,0.00011,0.02976,0.00013,4e-05,2.78477,10.0664,3.02374,4.12377e-05,4.12377e-05,4.12377e-05
3,139.778,2.88819,6.12617,2.59498,0.57701,0.00952,0.0025,0.00076,2.75967,35.2669,2.90782,6.53205e-05,6.53205e-05,6.53205e-05
4,181.255,2.57602,5.4803,2.40993,0.09006,0.10516,0.04651,0.01709,2.63877,51.3603,2.7371,8.89086e-05,8.89086e-05,8.89086e-05
5,223.339,2.51787,5.01939,2.25969,0.0951,0.10198,0.02224,0.00508,2.49056,26.9845,2.61663,0.000112002,0.000112002,0.000112002
6,266.144,2.42832,4.61496,2.22216,0.017,0.04762,0.00951,0.00308,2.34163,18.366,2.52491,0.0001346,0.0001346,0.0001346
7,314.325,2.3542,4.57985,2.19233,0.48632,0.06825,0.04368,0.02056,2.30092,12.4707,2.43707,0.000156704,0.000156704,0.000156704
8,360.674,2.1332,3.92801,2.05786,0.69849,0.04643,0.04343,0.02434,2.3656,10.0858,2.46703,0.000178313,0.000178313,0.000178313
